segment,recency_days_median,frequency_median,median_spend,avg_spend,support_ticket_count_median,engagement_score_mean,discount_usage_rate_mean,churn_rate,segment_size
At-Risk,465.0,2.0,195.83,239.18,1.0,92.96,0.16,0.44,986
Discount-Sensitive,448.0,1.0,150.27,194.99,1.0,93.06,0.91,0.52,291
Dormant,933.0,3.0,306.98,338.79,1.0,93.94,0.36,0.31,1618
High-Support Needs,609.0,1.0,144.85,194.93,3.0,73.39,0.35,0.88,592
Loyal Customers,312.5,6.0,618.17,643.9,0.0,98.75,0.36,0.01,968
Potential High-Value,244.0,4.0,335.51,381.77,1.0,90.12,0.34,0.18,545
